Unidade,CGTE/IFES,,,,,
Data de Início,1/11/2025,,,,,
Data de Fim,31/1/2026,,,,,
,,,,,,
Plano de Entregas,,,,,Plano de Trabalho,
ENTREGA,META ,PRAZO,DEMANDANTE ,DESTINATÁRIO,DESCRIÇÃO DO TRABALHO,CARGA-HORÁRIA
DESIGN,,,,,,
PGD trimestral elaborado,100%,1/03/2025 a 31/05/2025,CGTE 1724,CGTE 1724,"Reunir com a equipe
Definir as entregas
Atualizar a planilha com as entregas do plano trimestral",
Checklist de Curso MOOC realizada,100%,1/03/2025 a 31/05/2025,Cefor 117,Cefor,"Realizar checklist técnico do curso MOOC 
Realizar configurações do curso na vitrine MOOC",
Conteúdo para Comunicação Visual elaborado,100%,1/03/2025 a 31/05/2025,Cefor 117,Setor de Comunicação ,"Criar e desenvolver layout de peças gráficas 
Enviar e-mail. 
Criar texto para Post de divulgação de datas comemorativas e de eventos, nas Redes sociais do Cefor e Site do Cefor.",
Formação ministrada.,100%,1/03/2025 a 31/05/2025,Qualquer unidade do Ifes,Público-alvo da formação,"Planejar o conteúdo e as atividades da formação.
Preparar material de apoio (apresentações, apostilas, etc.).
Ministrar a formação.
Avaliar o feedback dos participantes e documentar.",
Atualização em Interface digital realizada. ,100%,1/03/2025 a 31/05/2025,Cefor 117,Cefor,"Analisar o que precisa ser atualizado na interface.
Implementar as alterações na interface digital.
Testar e validar a atualização com o responsável.",
Recurso didático visual criado. (Layout criado),100%,1/03/2025 a 31/05/2025,Cefor 117,Público alvo,"Definir os requisitos do layout.
Criar esboços iniciais para aprovação.
Desenvolver o layout final com ajustes conforme feedback.",
Tutorial criado.,100%,1/03/2025 a 31/05/2025,Cefor 117,Público Alvo,"Organizar informações sobre o tutorial 
Gravar o tutorial
Editar o tutorial",
Podcast publicado.,100%,1/03/2025 a 31/05/2025,Cefor 117,Público Alvo,"Avaliar podcast editado
Publicar no Youtube
Publicar no Spotify",
Informação em sistema institucional atualizada.,100%,1/03/2025 a 31/05/2025,Cefor 117,Público Alvo,"Analisar o que precisa ser atualizado no sistemas do Cefor (site, base de conhecimento, etc).
Implementar as atualizações
Testar e validar a atualização com o responsável",
Sala modelo do Moodle lançada.,100%,1/03/2025 a 31/05/2025,Cefor 117,Professores do Ifes,"Atualizar o link de referência(modelo) para Sala de Coordenação e formulário de avaliação de disciplina
Gravar e disponibilizar o tutorial da sala modelo 
Disponiblizar o artigo na Base de conhecimento",
Repositório de Vídeos implementado,100%,1/03/2025 a 31/05/2025,Cefor,Cefor,"Validar identidade visual e a estrutura
Revisar e ajustar no Moodle 4.1",
Repositório de Livros atualizado ,100%,1/03/2025 a 31/05/2025,Cefor,Cefor,"Realizar reuniões da comissão
Atualizar o processo de inclusão  de material
Realizar a revisão Técnica dos livros disponibilizados no ReLiCefor - Oficial",
Curso MOOC atualizado,100%,1/03/2025 a 31/05/2025,Unidade Executora,Público Alvo,Inserção dos vídeos traduzidos em Libras nos cursos MOOC.,
